id,sentence,label,detailed_source,Morphology,Semantics,Syntax,Hallucination
758,"Толпа слушателей, как только выступление было закончено, вскочили с мест и стали громко кричать.",0,USE8,0,0,1,0
759,Пусть материал будет интересный!,1,Testelets,0,0,0,0
760,Он заслонил мне экран.,1,Paducheva2004,0,0,0,0
761,"Только какой-то негоциант, живший рядом с приютом и потерявший счет деньгам, ежегодно при получении из-за границы транспорта с фруктами присылал в приют ящик апельсин.",0,USE7,1,0,0,0
762,Сами себе осложняем жизнь.,1,Paducheva2010,0,0,0,0
763,"Люда приехала, чтобы покупать масло самой.",1,Testelets,0,0,0,0
764,Тебе стоит туда поехать.,1,Paducheva2010,0,0,0,0
765,"Он сказал, что Иван болеет.",1,Paducheva2010,0,0,0,0
766,Убийца своего брата захватил трон.,1,Testelets,0,0,0,0
767,"Она изменилась, потому что испытав столько горя.",0,Rusgram,0,0,1,0
768,По возвращению из Стамбула Николай с особенным вдохновением взялся за работу.,0,USE8,0,0,1,0
769,Они виделись в Петербурге.,1,Paducheva2013,0,0,0,0
770,"Мы были с тобой одни в нашем большом, светлом и теплом доме.",1,Paducheva2010,0,0,0,0
771,"В нашем лесу есть озеро, а в их лесу нет.",1,Seliverstova,0,0,0,0
772,"Глава администрации президента Владимир Литвин заявил о том, что Леонид Кучма дал свое согласие возглавить партию блока «За единую Украину!»",1,Lutikova,0,0,0,0
773,Он взял на себя расследование этого запутанного дела.,1,Seliverstova,0,0,0,0
774,Только это дало мне смелость обратиться к Вам за помощью.,1,Seliverstova,0,0,0,0
775,"Еще не написал письма Керенскому, хочет вместе с нами.",1,Paducheva2013,0,0,0,0
776,"Так думают почти все люди, может, даже и не почти, а все без исключения люди.",1,Paducheva2013,0,0,0,0
777,Слова жены подтвердили мои догадки.,1,Paducheva2010,0,0,0,0
778,В Советском Союзе состоялся запуск межконтинентальной баллистиче ской ракеты.,1,Seliverstova,0,0,0,0
779,"Ты достаточно взрослая, чтобы сама все понимать.",1,Testelets,0,0,0,0
780,Когда вы поедете снимать дачу?,1,Seliverstova,0,0,0,0
781,"Мало того, что заставили человека 4 часа торчать под проливным дождем, так еще и разрешили работать больному!",1,Lutikova,0,0,0,0
782,Унас редко есть занятия по истории.,0,Seliverstova,0,1,0,0
783,В ее библиотеке есть интересные книги.,1,Seliverstova,0,0,0,0
784,Он получил недовольство собой.,0,Seliverstova,0,1,0,0
785,В 1955 г. эта страна получила независимость.,1,Seliverstova,0,0,0,0
786,Отец обещал сыну привезти игрушки из города.,1,Testelets,0,0,0,0
787,"С этих пор на ихний дом опустилась тайна, то есть тишина.",0,USE7,1,0,0,0
788,Я говорю с адвокатом.,1,Seliverstova,0,0,0,0
789,"Он чувствовал, что ему явно не хватало Маши.",1,Paducheva2010,0,0,0,0
790,Листья шелестят в аллее.,1,Paducheva2004,0,0,0,0
791,В зале повара с задумчивым видом пили из блюдцев зелёный чай.,0,USE7,1,0,0,0
792,Она приняла это известие очень спокойно.,1,Seliverstova,0,0,0,0
793,"Перед тем как использовать суспензию для ингаляции, контейнер необходимо встряхнуть лёгким вращательным движением.",1,USE5,0,0,0,0
794,Каждый человек потребляет в день около двух литров воды.,1,Seliverstova,0,0,0,0
795,Мама ругается с сыном за двойку.,0,Rusgram,0,1,0,0
796,Иван не понимает мое желание идти на вечер один.,0,Lutikova,0,0,1,0
797,Возьми у меня корзинку и поставь ее куда-нибудь поблизости.,1,Seliverstova,0,0,0,0
798,Возьми со стола свои книги.,1,Seliverstova,0,0,0,0
799,Но позвольте на прощанье дать вам один совет.,1,Seliverstova,0,0,0,0
800,"Как известно, в определённый период развития естественно-научного знания его гуманитарная составляющая стремительно сокращалась.",1,USE5,0,0,0,0
801,Я воздержался от каких бы то ни было комментариев.,1,Paducheva2013,0,0,0,0
802,"У новых туфель поверхность кожи гладкая, блестящая, не пропускающая влаги ― все это благодаря тонкой, так называемой отделочной, полимерной пленке, которая покрывает кожу.",1,USE7,0,0,0,0
803,"Отдыхая в кресле, передо мной висит картина ""Март"".",0,USE8,0,0,1,0
804,Но тут вдали и вверху замигал огонек какой-то лампадки.,0,Seliverstova,0,1,0,0
805,Окно было открыто пятнадцать минут.,1,Paducheva2004,0,0,0,0
806,"На мелководных участках растительность образует перемычки, разделяющими озеро на отдельные плёсы.",0,USE8,0,0,1,0
807,Проблема залога обсуждается у Пешковского.,1,Paducheva2004,0,0,0,0
808,Этот глагол при употреблении в рассмотренных условиях получает следующий дополнительный компонент.,1,Seliverstova,0,0,0,0
809,"Громко засвидетельствовали, что ""пан Митя"" предлагал им три тысячи, чтобы купить их честь.",1,Paducheva2010,0,0,0,0
810,Том и Гек разговаривают.,1,Testelets,0,0,0,0
811,"Он сказал то, что не успеет выполнить работу в срок.",0,USE8,0,0,1,0
812,"Горько то, сынок, горько, когда нету у тебя отчего дома.",1,Paducheva2010,0,0,0,0
813,"В доме был большой круглый стой, все любили собираться и разговаривать в гостиной у него.",0,Testelets,0,0,1,0
814,"Знай македоняне, что им предстоит биться с Кратером, они не пошли бы в бой.",1,Rusgram,0,0,0,0
815,"Не мешай, у нас есть важный разговор.",0,Seliverstova,0,1,0,0
816,Борода у губ слегка курчавится.,1,Seliverstova,0,0,0,0
817,Иван отменил решение пойти на встречу один.,1,Testelets,0,0,0,0
818,"Он топчется у прилавка, смотрит на селедку и грязные рюмки, ломтики ситного.",1,Seliverstova,0,0,0,0
819,Я не имею понятия о квантовой физике.,1,Seliverstova,0,0,0,0
820,"Я не слышала того, что она говорила.",1,Seliverstova,0,0,0,0
821,Что-то я не вижу в вас рвения.,1,Paducheva2013,0,0,0,0
822,Наука ли есть история?,0,Testelets,0,0,1,0
823,Нельзя ли для прогулок подальше выбрать закоулок?,1,Paducheva2004,0,0,0,0
824,"Вот тут находится молодой студент, он изучил предмет и, думаю, подтвердит мое мнение.",1,Paducheva2004,0,0,0,0
825,Пианист сыграл сонату сам для себя.,1,Testelets,0,0,0,0
826,"Хотя опытные инженера из-за границы были обещаны и были уже в дороге, но в нужный момент их не было.",0,USE7,1,0,0,0
827,На диване удобно Маша.,0,Seliverstova,0,1,0,0
828,"Саша попросил, чтобы мы помогли ему решить задачу.",1,Testelets,0,0,0,0
829,Он растащил трубы по участку.,1,Testelets,0,0,0,0
830,"В канун Нового года заведующий неврологическим отделением больницы вместе с коллегами оригинально поздравили приморцев, сняв видеоклип.",0,USE8,0,0,1,0
831,"М. Б. Барклай-де-Толли был одним из военачальников, удостоенный ордена Святого Георгия за участие в войне против французов.",0,USE8,0,0,1,0
832,Стаканы есть в шкафу.,1,Testelets,0,0,0,0
833,"Каждый, кто читал повесть А.С. Пушкина «Капитанская дочка», сочувствуют главным героям.",0,USE8,0,0,1,0
834,"Сколько трепетной нежности было для нас даже в одном этом — в совместных усилиях тащить ее, то и дело касаясь рук друг друга.",1,Seliverstova,0,0,0,0
835,"Она создавала какие-то планы про себя и, кажется, сделалась еще скупее, чем прежде, и еще пуще стала копить и сердиться за карточные проигрыши Степана Трофимовича.",1,Paducheva2004,0,0,0,0
836,Из-за деревьев выглядывает крыша нашего дома.,1,Paducheva2004,0,0,0,0
837,Лена собиралась пойти посмотреть сама.,1,Testelets,0,0,0,0
838,Она не будет менять свой план из-за тебя.,1,Paducheva2013,0,0,0,0
839,"Те, кто внимательно прочитает заглавие статьи, может определить и тему, и основную мысль текста.",0,USE8,0,0,1,0
840,В каких странах проводится исследование загрязнения воды?,1,Paducheva2010,0,0,0,0
841,"Я показал гостям автограф писателя, который мне очень дорог.",0,USE8,0,0,1,0
842,Ваня не решил задачу.,1,Paducheva2013,0,0,0,0
843,"Чтобы как-то восполнить недостаток движения и свежего воздуха, Лиза ходила гулять к пруду.",1,USE5,0,0,0,0
844,"Иван ни плаща, ни куртки с собой не взял.",1,Paducheva2013,0,0,0,0
845,Но трудно человеку недовольному не упрекать кого-то другого.,1,Seliverstova,0,0,0,0
846,Волга поворачивает на запад у Саратова.,1,Seliverstova,0,0,0,0
847,Не получилось у нас разговора.,1,Testelets,0,0,0,0
848,"Не успеет грянуть гром, как мы с Лизой побежали со двора в дом.",0,USE8,0,0,1,0
849,Быть приглашенным на уколовские празднества почиталось за большую честь.,1,Lutikova,0,0,0,0
850,Обсуждать что бы то ни было всерьез становится практически невозможно.,1,Paducheva2013,0,0,0,0
851,"Я не нашёл другого способа ответить, чем то, чтобы промолчать.",0,USE8,0,0,1,0
852,"Человек, который иногда бьет свою жену, разумнее того, который во всем ей уступает.",1,Seliverstova,0,0,0,0
853,Мой дом не стоит на горе.,1,Paducheva2004,0,0,0,0
854,Близко от него сидит молоденькая девушка и читает какую-то книгу.,1,Seliverstova,0,0,0,0
855,"Те, кто читал роман Л. Н. Толстого «Война и мир», помнит описание Бородинского сражения.",0,USE8,0,0,1,0
856,Раньше он каждую субботу ходил в баню.,1,Paducheva2010,0,0,0,0
857,Он появился в назначенный срок.,1,Paducheva2004,0,0,0,0
858,Он ездит туда сам.,1,Testelets,0,0,0,0
859,"Оказав сопротивление, преступник был убит.",1,Testelets,0,0,0,0
860,Книга была нарочно продана студенту букинистом.,1,Testelets,0,0,0,0
861,Математика и естественные науки преподавались.,1,Testelets,0,0,0,0
862,"Батьку Минная играет очень интересный актер Ю. Горобец (кажется, это пока его лучшая она в кино).",0,Testelets,0,0,1,0
863,"Нельзя не любить кого-то, кто обладает такими достоинствами.",1,Seliverstova,0,0,0,0
864,Я рисковал потерей своих преимуществ.,1,Paducheva2004,0,0,0,0
865,Каждый день он приносил какую-нибудь охапку хвороста.,0,Seliverstova,0,1,0,0
866,"Он медленно, но несомненно умнеет.",1,Seliverstova,0,0,0,0
867,Отец уговорил Ивана не вмешиваться в конфликт самому.,1,Testelets,0,0,0,0
868,"Они въехали в бор, и звук копыт стал звонче.",1,USE7,0,0,0,0
869,"Возможно, ты в это время с кем-то говорила по телефону?",1,Seliverstova,0,0,0,0
870,Кто может объять необъятное?,1,Paducheva2010,0,0,0,0
871,В результате этого он получил оспу.,0,Seliverstova,0,1,0,0
872,"Вчера Миша купили книгу, а Коля компакт-диск.",0,Testelets,0,0,1,0
873,"Как не сомневается Иван, изменения необходимы.",0,Paducheva2010,0,1,0,0
874,Я тебе не Жанна д'Арк.,1,Paducheva2010,0,0,0,0
875,Я долго питаю к ней нежные чувства.,0,Paducheva2004,0,1,0,0
876,Сейчас как раз есть одно из занятий по английскому языку.,0,Seliverstova,0,1,0,0
877,Согласно древнерусских летописных источников первые упоминания о Москве относятся к 1147 году.,0,USE8,0,0,1,0
878,"Какой тут отдых, когда дел столько?",1,Paducheva2013,0,0,0,0
879,Незнакомец опять обратился ко мне.,1,Seliverstova,0,0,0,0
880,"Вероятно, кто-нибудь из них был здесь.",1,Seliverstova,0,0,0,0
881,Прошу у вас прощенья за вчерашнее.,1,Paducheva2010,0,0,0,0
882,Сторож наполнил бассейн водой.,1,Paducheva2004,0,0,0,0
883,"Вообще-то он в институте, но сейчас он вышел.",1,Seliverstova,0,0,0,0
884,Нобелевскую премию кому дадут?,1,Mitrenina,0,0,0,0
885,Снег шёл не переставая и неожиданно заканчивается.,0,USE8,0,0,1,0
886,"Эй, ты в шляпе, подойди сюда!",1,Seliverstova,0,0,0,0
887,Он скептически воспринял мое предложение.,1,Seliverstova,0,0,0,0
888,Ибрагим не будет не улыбаться.,0,Rusgram,0,0,1,0
889,Он возмутился моим поведением.,1,Paducheva2004,0,0,0,0
890,"Зина считает, что Иван, безусловно, вернется.",1,Paducheva2010,0,0,0,0
891,"Он не знает, зачем приехал Иван.",1,Testelets,0,0,0,0
892,"Все, кто побывал в Долине гейзеров, понимает, почему её считают одним из чудес света.",0,USE8,0,0,1,0
893,С каждого дерева упала груша.,1,Testelets,0,0,0,0
894,"Ей нездоровилось, чтобы принимать гостей.",0,Testelets,0,0,1,0
895,"Он добился того, что статью опубликовали.",1,Paducheva2004,0,0,0,0
896,Он не должен делать полностью всю работу.,1,Testelets,0,0,0,0
897,Иван читал статью о себе.,1,Testelets,0,0,0,0
898,Из-за туч показалась луна.,1,Paducheva2004,0,0,0,0
899,"Пересматривая фильм, самые любимые или просто самые запоминающиеся моменты снова радуют нас.",0,USE8,0,0,1,0
900,Врач не советует Тане менять климат.,1,Paducheva2013,0,0,0,0
901,"Не взыщи только, что на берёсте и подчерк плохой.",0,USE7,1,0,0,0
902,"Вот я вижу себя снова в деревне, глубокой осенью.",1,Paducheva2010,0,0,0,0
903,Поговори же хоть с кем-нибудь из них.,1,Seliverstova,0,0,0,0
904,"Некрасивого, доброго человека, каким он себя считал, можно, полагал он, любить как приятеля.",1,Paducheva2010,0,0,0,0
905,"Когда философу подтвердили настойчивое желание Остапа, черноглазый старец заволновался.",1,Paducheva2004,0,0,0,0
906,От Лахти до Куопио вы будете любоваться невероятной синевой финляндских озер.,1,Lutikova,0,0,0,0
907,"Вопреки распространённого мнения, лучшие рестораны Франции находятся вовсе не в Париже.",0,USE8,0,0,1,0
908,"Маша призналась, что он кончил работу только вчера, нет, позавчера.",1,Paducheva2010,0,0,0,0
909,Этот аргумент отвергло большинство теоретиков.,1,Testelets,0,0,0,0
910,Он не заехал ни разу.,1,Paducheva2013,0,0,0,0
911,Ветви сирени почти касаются моего балкона.,1,Paducheva2013,0,0,0,0
912,Запрещаются все компьютерные игры.,1,Paducheva2013,0,0,0,0
913,Грушницкий стоял возле княжны и что-то говорил с большим жаром.,1,Seliverstova,0,0,0,0
914,Стану я пса кормить!,1,Paducheva2010,0,0,0,0
915,"Что он приехал, никто не обрадовался.",0,Rusgram,0,0,1,0
916,"Я надеюсь, ты собрался?",1,Paducheva2010,0,0,0,0
917,"Он воображает, что все знает об этом.",1,Testelets,0,0,0,0
918,"В русских сказках заяц обычно пугливый, словно от латинского наименования вида «робкий заяц».",1,USE5,0,0,0,0
919,"Видимо, Троцкий не проявил сочувствия.",1,Paducheva2013,0,0,0,0
920,Весь вечер она раздражалась.,0,Paducheva2010,0,1,0,0
921,"Во время быстрой фазы сна нейроны мозга, отвечающего за зрительное восприятие, ведут себя так, как будто мы видим что-то незнакомое.",0,USE8,0,0,1,0
922,Пассажиров просят пройти на посадку в 3-ю секцию.,1,Paducheva2010,0,0,0,0
923,"Он мне сказал, что приходи.",0,Rusgram,0,0,1,0
924,Он не будет утомлять тебя разговором.,1,Paducheva2013,0,0,0,0
925,"Если человеку постоянно завышать планку и не сформировать позитивной самооценки, он никогда не будет удовлетворён результатами.",0,USE8,0,0,1,0
926,Платье на красавице шелестело.,1,Paducheva2004,0,0,0,0
927,Это обнажило суть явления.,1,Paducheva2004,0,0,0,0
928,"Я видел, что книга лежит не на месте.",1,Paducheva2010,0,0,0,0
929,"Маша книгу, и Саша читает.",0,Testelets,0,0,1,0
930,"Он забыл, что сейчас времена другие.",1,Paducheva2004,0,0,0,0
931,Патриотизм и верность воинскому долгу — главные качества защитника Отечества.,1,USE5,0,0,0,0
932,"Мы были знакомы всего несколько дней, но у меня сложилось впечатление, что он порядочный человек.",1,Seliverstova,0,0,0,0
933,"Я вошел в хату: две лавки и стол, да огромный сундук возле печи со ставляли всю ее мебель.",1,Seliverstova,0,0,0,0
934,Такой партии не было.,1,Paducheva2004,0,0,0,0
935,У нее есть изящество.,1,Seliverstova,0,0,0,0
936,Тебя тут не хватало.,1,Paducheva2013,0,0,0,0
937,"Она подняла с пола записку, развернула ее и стала читать.",1,Seliverstova,0,0,0,0
938,Никто не был к этому готов.,1,Rusgram,0,0,0,0
939,"Через несколько дней после ссоры Дубровский поймал крестьян Троекурова в своих лесах, кравших дрова.",0,USE8,0,0,1,0
940,"Для того чтобы добиться цели, человеку необходима твердая уверенность в успех дела.",0,USE8,0,0,1,0
941,В этот момент он начал речь приветствием.,0,Paducheva2004,0,1,0,0
942,"Итак, я прихожу к вам завтра в семь.",1,Paducheva2013,0,0,0,0
943,Черные глаза у нее сияли.,0,Seliverstova,0,1,0,0
944,Чего она вообще хочет от жизни?,1,Rusgram,0,0,0,0
945,"Слезы были у него на глазах и в горле, когда в дверь вошел Лаврушка с какими-то бумагами.",1,Seliverstova,0,0,0,0
946,Ты сидишь слишком далеко.,1,Seliverstova,0,0,0,0
947,Я разрешил детям налить друг другу чаю.,1,Testelets,0,0,0,0
948,В автосалоне были выставлены в основном автомобили представительского класса.,1,USE5,0,0,0,0
949,В седьмой день седьмого лунного месяца по улицам Японии под грохот барабанов и крики участников проходят красочная процессия с гигантскими фонарями.,0,USE8,0,0,1,0
950,"Статья подписана ""Иван Петров"", и я знаю, что ты сам ее написал.",1,Paducheva2010,0,0,0,0
951,От антисемитизма страдать не могла.,1,Testelets,0,0,0,0
952,Тотчас из-за одного из памятников показался черный плащ.,1,Paducheva2004,0,0,0,0
953,Бутыль не вмещает пяти литров.,1,Paducheva2004,0,0,0,0
954,"Я показал этот текст студентам, обоим знающим эскимосский язык.",0,Testelets,0,0,1,0
955,Солдаты грелись рядом с кострами.,0,Seliverstova,0,1,0,0
956,"Нельзя было не заметить, что толпа на площади гуляют с какой-то лихорадочной бодростью.",0,USE8,0,0,1,0
957,Порыв ветра разбил окно.,1,Paducheva2004,0,0,0,0
958,Его анекдоты меня не развлекают.,1,Paducheva2013,0,0,0,0
959,Только Потапов и был ничего.,1,Rusgram,0,0,0,0
960,Мусин без причины не отказался приходить в суд на обжалование ареста.,0,Paducheva2013,0,1,0,0
961,Рыбы не пахло.,0,Rusgram,0,1,0,0
962,Второй роты не приходило.,0,Paducheva2013,0,1,0,0
963,Ну-ка быстро все доделаешь!,0,Rusgram,0,1,0,0
964,"Кричала, что будьте вы прокляты.",0,Rusgram,0,1,0,0
965,Меня давно не было в Москве.,0,Paducheva2013,0,1,0,0
966,"В том году она принесла мне письма, которые до сих пор никому не показывала.",0,Rusgram,0,1,0,0
967,Разницы не усматривается невооруженным глазом.,0,Paducheva2004,0,1,0,0
968,Павел Алексеевич уже перестал ждать всякого ответа.,0,Paducheva2013,0,1,0,0
969,"Он чувствует, что дурак.",0,Rusgram,0,1,0,0
970,Это влияет на любые инициативы сдвига во всякую сторону.,0,Paducheva2013,0,1,0,0
971,Маша считает этот суп достаточным.,0,Rusgram,0,1,0,0
972,Пришлось кого-нибудь попросить помочь.,0,Rusgram,0,1,0,0
973,Аварии не имело места.,0,Paducheva2013,0,1,0,0
974,Завтра мы слышим оперу.,0,Rusgram,0,1,0,0
975,Мне казалось больным ступать босиком по камешкам.,0,Rusgram,0,1,0,0
976,"Он купит машину, если только не пропьет всех денег.",0,Paducheva2013,0,1,0,0
977,Я не люблю кого-либо.,0,Paducheva2013,0,1,0,0
978,Мысли отказываются остановиться на всяком предмете.,0,Paducheva2013,0,1,0,0
979,"Не должно быть подозрений, что судью привлекают только потому, что он высказал свое критическое отношение к каким бы то ни было действиям самой государственной власти.",0,Paducheva2013,0,1,0,0
980,"Хорошо, что он купил что-нибудь.",0,Rusgram,0,1,0,0
981,"Если бы я не потерял очков, не пришлось бы покупать новые.",0,Paducheva2013,0,1,0,0
982,На Марсе есть какие-либо (какие бы то ни было) разумные обитатели.,0,Rusgram,0,1,0,0
0,"Это правило распространяется на швейцарские рейсы, которые начинаются или заканчиваются в американском аэропорту.",1,YandexCorpus,0,0,0,0
1,Так что изменения климата будут ужасными для них.,1,TED,0,0,0,0
2,Он снова вырубился и очнулся в больнице через несколько дней.,1,WikiMatrix,0,0,0,0
3,"Он курировал работу Исполнительного комитета миссионеров, Комитета всеобщего благосостояния и Центрального совета по делам печати.",1,WikiMatrix,0,0,0,0
4,В феврале 1878 года сменил его Адельардо Лопес Де Аяла (либеральная консервативная партия).,1,WikiMatrix,0,0,0,0
5,"Перед боем в финале чемпионата России по футболу будет проведен технический запуск всех параметров игры ""джокера"".",0,WikiMatrix,0,0,0,1
6,В странах с федеративным государственным устройством закон об однополых браках или союзах могут принять также в территории отдельного субъекта Федерации.,1,WikiMatrix,0,0,0,0
7,Оперения у совы с тёмными глазами и белым оперением практически идентичны параду курантов на родине автора.,0,WikiMatrix,0,0,0,1
8,"Основные компании, принадлежащие компаниям Anheuser-Busch, находятся во владении.",0,WikiMatrix,0,0,0,1
9,"Йенсен в девятом матче за сезон побил пять мячей, примет участие во всех десяти играх подряд.",0,WikiMatrix,0,0,1,0
10,Комнатная служба готова помочь 24 часа в сутки.,1,YandexCorpus,0,0,0,0
11,Это всё что он задумал.,1,WikiMatrix,0,0,0,0
12,"Советский военный корабль обнаруживает Гант и атаки, стреляет ракеты и пытается запустить вертолет.",0,WikiMatrix,0,0,0,1
13,Многим людям может понадобиться помощь в вычислении.,1,TED,0,0,0,0
14,Наиболее важной функцией РКА остается ее служба британской разведки.,1,YandexCorpus,0,0,0,0
15,"Способ изображения данных в виде условных знаков для людей с неразвитым ""зрением"" называется методом оптического алфавита?",1,WikiMatrix,0,0,0,0
16,Международный консорциум X MIT выпустил обновления к новейшей модели X11.,1,WikiMatrix,0,0,0,0
17,Том унес свой секрет в могилу.,1,Tatoeba,0,0,0,0
18,В сезоне 2003—2004 он вышел в 4-й дивизион.,1,WikiMatrix,0,0,0,0
19,Люк останавливает удачу от этого.,0,WikiMatrix,0,0,0,1
20,"Россия, в конце концов, не возникла в 1991 или даже в 1917 году.",0,YandexCorpus,0,0,1,0
21,"Если Джулиана умрет, то она наконец освободит и остальные вампиры, которые совершенно не хотят пить крови и убить человека.",0,WikiMatrix,0,0,0,1
22,"Плоды полушаровые, диаметр 6 мм.",1,WikiMatrix,0,0,0,0
23,Некоторые европейские страны продавали Patrol в течение некоторого времени как «Эбро Патрол».,1,WikiMatrix,0,0,0,0
24,"Возможно ли, что это случится?",1,TED,0,0,0,0
25,Я не читал ни одного из его романов.,1,Tatoeba,0,0,0,0
26,"Противники ""гендерного насилия"" признали совершение этой операции правонарушением.",1,WikiMatrix,0,0,0,0
27,"Некоторые шифротексты могут быть взломаны, хотя некоторых шифрования с большим количеством символов на практике, но есть нестандартные структуры.",0,WikiMatrix,0,0,0,1
28,"Моя жена часто звонит мне, когда она путешествует за границу.",1,Tatoeba,0,0,0,0
29,Я не говорил тебе увольнять их.,1,Tatoeba,0,0,0,0
30,"Суд ЕС назвал недействительными все вопросы об одностороннем праве страны выйти из Еврозоны, в отсутствии какого-либо решения.",1,WikiMatrix,0,0,0,0
31,"Я обещал Тому, что никому не скажу.",1,Tatoeba,0,0,0,0
32,"Мечтает, и игра очень отличается от последних трёх входов серии.",0,WikiMatrix,0,0,0,1
33,Кто после Второй мировой войны занимал должность командующего сухопутными войсками Пакистана с 15 августа 1947 по 10 февраля 1948 года?,1,WikiMatrix,0,0,0,0
34,Французский является её первым языком.,1,Tatoeba,0,0,0,0
35,Коммунисты Казахстана вышли на митинг против власти.,1,WikiMatrix,0,0,0,0
36,В этом году родилось около 22 000 Самаранцев.,1,YandexCorpus,0,0,0,0
37,Я не знаю фамилию Тома.,1,Tatoeba,0,0,0,0
38,Поговорительница Пресли поссорилась с поп-звездой из-за этой проблемы и столкнулась с непокорным Джексоном после встречи в Неверленде.,0,WikiMatrix,1,0,0,0
39,Случаи пива вылетели на улицу.,0,WikiMatrix,0,0,0,1
40,Основные темы лирики могут стать сатанизм и богохульство.,0,WikiMatrix,0,0,1,0
41,"В первые недели на Кубке мира нойер вновь впервые побил рекорд клуба, выпустив за 1000.",0,WikiMatrix,0,0,0,1
42,"В Британии появилась версия названия рождественского шара ""Христос"".",1,WikiMatrix,0,0,0,0
43,"Гийом получил Нобелевскую премию по физике 1920 года за эти открытия, которая показывает, как важны эти сплавы для научных приборов.",0,WikiMatrix,0,0,1,0
44,"В России нашли несколько существенных у классических авторов табличек, а также сохранившимися топонимами и наименованиями племён.",0,WikiMatrix,0,0,1,0
45,"Расстояние зависит от толщины стены, CVKA-G109 лучше всего работает при использовании на барьеры, которые имеют толщину 6 - 10 дюймов.",1,YandexCorpus,0,0,0,0
46,"Женившийся в день получения титула Принцессы Хиллари актер из сериала ""Клан Сопрано"" стал мужем актрисы Кеннетт Уиттакер (1894—1979).",1,WikiMatrix,0,0,0,0
47,В результате увеличения воздушного трафика 70 лет назад был построен дополнительный терминал с почти четыре раза большей площадью.,0,WikiMatrix,0,0,1,0
48,"Барли – традиционный напиток, употребляемый в разных частях мира.",1,WikiMatrix,0,0,0,0
49,"Шварценеггеру не понравилась идея поставить шоу, которое сочетание между ""полицейской драмой"" и экстремальной версией сериала.",0,WikiMatrix,0,0,1,0
50,Что такое Цзянь Синь Сунь Фуцюань.,1,WikiMatrix,0,0,0,0
51,Его успех был не менее чем чудом.,1,Tatoeba,0,0,0,0
52,"Кожа Захария захватил замок Даньо, провозгласив себя правителем Сати и даньо.",1,WikiMatrix,0,0,0,0
53,Вы никогда не были похожи на него.,1,Tatoeba,0,0,0,0
54,"Я думаю, что Том должен был остаться в Бостоне.",1,Tatoeba,0,0,0,0
55,"Она по прежнему увлекается аниме и думает, что Томоко с ней все равно не смогла быть своей собственностью.",0,WikiMatrix,0,0,0,1
56,"Но самое важное, чтобы сделать его работать - и он подчеркнул это - это то, что нужно знать людей в сообществах.",0,TED,0,0,1,0
57,Командир армии в Риме с 1995 посещал курсы на военном факультете.,1,WikiMatrix,0,0,0,0
58,На дне Марианской впадины найдены три неизвестных судна США.,1,WikiMatrix,0,0,0,0
59,Для замены SWB в 1960 году выпустили 46 экземпляров.,1,WikiMatrix,0,0,0,0
60,Крымские феодалы осадили и разграбили астраханский город Арбаат 5 мая 1475 года.,1,WikiMatrix,0,0,0,0
61,Супруги из Канады назвали дочь в честь любимой собаки канадцами собачки по имени Шарик .,0,WikiMatrix,0,0,0,1
62,"Кроме того, впервые литовцы однозначно высказали требования к полной независимости Литвы.",1,WikiMatrix,0,0,0,0
63,"EMV первоначально представляла собой Europay, Mastercard и Visa, три компании, которые создали стандарт.",0,WikiMatrix,0,0,0,1
64,В ряде стран Европы и других регионов не разрешили продажу безочистного горчичного масла.,0,WikiMatrix,1,0,0,0
65,В Нигерии нефтяной бум 1973 года внес огромный вклад на развитие кинематографической культуры.,0,WikiMatrix,0,0,1,0
66,У нее были такие большие зубы.,1,WikiMatrix,0,0,0,0
67,"Регион Ггеркуника находится в восточной части Армении, 1500-1900 м над уровнем моря.",0,YandexCorpus,1,0,0,0
68,"На охоте неудачники, у которых всех любили накормить инспектор.",0,WikiMatrix,0,0,0,1
69,Эти идеи об алхимии возникли в XVIII веке или позже.,1,WikiMatrix,0,0,0,0
70,Первое произведение Реймгена было опубликовано в 1937 г.,1,WikiMatrix,0,0,0,0
71,Единственный из главных заколдованных персонажей не показали в человеческих обликах.,0,WikiMatrix,0,0,1,0
72,Сообщение с ней только по пешке.,0,WikiMatrix,0,0,0,1
73,Ученые используют этот эффект для достижения сверхнизких температур.,1,WikiMatrix,0,0,0,0
74,Лидер Либеральной партии теряет кресло после перевыборов?,1,WikiMatrix,0,0,0,0
75,Окончательная ребрендация MTV должна быть завершена к 2011 году.,0,YandexCorpus,1,0,0,0
76,"В 1929 году Ньюкомб переехал на Мальту в качестве главного инженера, а в 1932 году ушел в отставку.",1,WikiMatrix,0,0,0,0
77,В документе приводится метод определения конкурентоспособности промышленной продукции с точки зрения экологических факторов на основе использования сложного и комплексного показателя.,1,YandexCorpus,0,0,0,0
78,"Назареи (секта, I век) - христианская секта древних иудеев.",1,WikiMatrix,0,0,0,0
79,"Члены Конвенции представляют все слои общества, но большинство из них являются юристами.",1,WikiMatrix,0,0,0,0
80,"В 2017 году компанией ""БелАЗ"" запустили завод по производству тормозных колодок, дисков, накладок в городе Старые дороги.",0,WikiMatrix,0,0,1,0
81,Доход на душу населения в 2017 году составит $20543.,1,WikiMatrix,0,0,0,0
82,"Сегодня, наконец, я собираюсь сказать Тому, что я действительно думаю о нем.",1,Tatoeba,0,0,0,0
